,b,t
807,GSE14350_TREG_VS_TEFF_UP,GSE4142_GC_BCELL_VS_MEMORY_BCELL_UP
808,GO_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI,GO_MEIOTIC_CHROMOSOME_SEGREGATION
809,GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_4H_UP,GSE20366_CD103_KLRG1_DP_VS_DN_TREG_UP
810,GSE45365_NK_CELL_VS_CD11B_DC_MCMV_INFECTION_UP,GSE43955_1H_VS_60H_ACT_CD4_TCELL_UP
811,GO_PROTEIN_HOMOTETRAMERIZATION,GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP
812,GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_UP,GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_UP
813,GSE2585_CD80_HIGH_VS_LOW_AIRE_KO_MTEC_UP,GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_UP
814,GSE17721_CTRL_VS_GARDIQUIMOD_6H_BMDC_UP,GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_UP
815,GO_BIOMINERAL_TISSUE_DEVELOPMENT,GSE17721_CTRL_VS_LPS_12H_BMDC_UP
816,GSE17721_CTRL_VS_GARDIQUIMOD_2H_BMDC_UP,GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP
817,GSE11924_TFH_VS_TH2_CD4_TCELL_UP,GSE27786_LSK_VS_LIN_NEG_CELL_UP
818,GSE17721_PAM3CSK4_VS_GADIQUIMOD_1H_BMDC_UP,GSE17721_PAM3CSK4_VS_GADIQUIMOD_24H_BMDC_UP
819,GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP,GO_EMBRYONIC_DIGIT_MORPHOGENESIS
820,GSE7460_CTRL_VS_FOXP3_OVEREXPR_TCONV_UP,GSE33374_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP
821,GSE43955_10H_VS_60H_ACT_CD4_TCELL_UP,GSE17721_LPS_VS_PAM3CSK4_4H_BMDC_UP
822,GSE29949_MICROGLIA_BRAIN_VS_MONOCYTE_BONE_MARROW_UP,GSE14308_TH1_VS_TH17_UP
823,GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,GSE39152_SPLEEN_CD103_NEG_VS_BRAIN_CD103_POS_MEMORY_CD8_TCELL_UP
824,GO_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR,GSE34392_ST2_KO_VS_WT_DAY8_LCMV_EFFECTOR_CD8_TCELL_UP
825,GSE22443_NAIVE_VS_ACT_AND_IL12_TREATED_CD8_TCELL_UP,GSE7460_FOXP3_MUT_VS_WT_ACT_TCONV_UP
826,GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_UP,GSE18893_TCONV_VS_TREG_2H_TNF_STIM_UP
827,GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_TREG_UP,GSE17721_PAM3CSK4_VS_CPG_4H_BMDC_UP
828,GSE14308_TH2_VS_INDUCED_TREG_UP,GSE17721_LPS_VS_POLYIC_6H_BMDC_UP
829,GSE360_L_DONOVANI_VS_T_GONDII_DC_UP,GO_CARDIAC_VENTRICLE_MORPHOGENESIS
830,GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_UP,GSE36078_WT_VS_IL1R_KO_LUNG_DC_UP
831,GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_UP,GSE27786_LIN_NEG_VS_CD8_TCELL_UP
832,GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_MAC_UP,GSE27786_NEUTROPHIL_VS_MONO_MAC_UP
833,GSE5503_PLN_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP,GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_PDC_UP
834,GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,GSE17721_PAM3CSK4_VS_CPG_2H_BMDC_UP
835,GSE14026_TH1_VS_TH17_UP,GO_DIENCEPHALON_DEVELOPMENT
836,GSE23568_CTRL_VS_ID3_TRANSDUCED_CD8_TCELL_UP,GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY
837,GSE557_WT_VS_CIITA_KO_DC_UP,GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION
838,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_UP,GSE5503_LIVER_DC_VS_MLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP
839,GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_UP,GSE36078_UNTREATED_VS_AD5_INF_IL1R_KO_MOUSE_LUNG_DC_UP
840,GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_UP,GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_DC_UP
841,GSE16385_MONOCYTE_VS_MACROPHAGE_UP,GSE17721_0.5H_VS_4H_CPG_BMDC_UP
842,GSE18893_CTRL_VS_TNF_TREATED_TREG_2H_UP,GO_DNA_METHYLATION_OR_DEMETHYLATION
843,GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP,GO_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY
844,GSE28737_WT_VS_BCL6_HET_MARGINAL_ZONE_BCELL_UP,GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_UP
845,GO_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP
846,GO_CELL_AGING,GSE43955_1H_VS_10H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP
847,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_UP,GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP
848,GSE24574_BCL6_HIGH_TFH_VS_TFH_CD4_TCELL_UP,GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT
849,GO_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,GSE3982_EOSINOPHIL_VS_DC_UP
850,GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_UP,GO_LIPID_PHOSPHORYLATION
851,GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_UP,GSE15324_ELF4_KO_VS_WT_ACTIVATED_CD8_TCELL_UP
852,GSE17721_POLYIC_VS_PAM3CSK4_2H_BMDC_UP,GSE8835_CD4_VS_CD8_TCELL_UP
853,GO_SPHINGOLIPID_BIOSYNTHETIC_PROCESS,GO_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS
854,GO_PALATE_DEVELOPMENT,GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP
855,GSE32423_CTRL_VS_IL7_MEMORY_CD8_TCELL_UP,GO_PEPTIDYL_LYSINE_METHYLATION
856,GO_ACTIN_CYTOSKELETON_REORGANIZATION,GSE24574_BCL6_HIGH_TFH_VS_NAIVE_CD4_TCELL_UP
857,GO_RECEPTOR_INTERNALIZATION,GSE17721_POLYIC_VS_PAM3CSK4_8H_BMDC_UP
858,GSE21670_TGFB_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_UP,GSE17721_CTRL_VS_POLYIC_6H_BMDC_UP
859,GSE24574_BCL6_HIGH_TFH_VS_TCONV_CD4_TCELL_UP,GSE28130_ACTIVATED_VS_INDUCEED_TREG_UP
860,GSE12198_CTRL_VS_HIGH_IL2_STIM_NK_CELL_UP,GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP
861,GO_RNA_METHYLATION,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_UP
862,GSE17721_CTRL_VS_CPG_24H_BMDC_UP,GSE17721_LPS_VS_POLYIC_12H_BMDC_UP
863,GSE22432_UNTREATED_VS_TGFB1_TREATED_COMMON_DC_PROGENITOR_UP,GSE21063_WT_VS_NFATC1_KO_BCELL_UP
864,GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_UP,GSE17721_0.5H_VS_8H_CPG_BMDC_UP
865,GSE32423_CTRL_VS_IL7_IL4_MEMORY_CD8_TCELL_UP,GO_OVARIAN_FOLLICLE_DEVELOPMENT
866,GSE43863_TFH_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_UP,GO_THIOESTER_METABOLIC_PROCESS
867,GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL10_KO_MACROPHAGE_45MIN_UP,GO_CARDIAC_CONDUCTION
868,GSE22935_WT_VS_MYD88_KO_MACROPHAGE_12H_MBOVIS_BCG_STIM_UP,GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP
869,GSE39152_CD103_NEG_VS_POS_MEMORY_CD8_TCELL_UP,GO_REGULATION_OF_ATPASE_ACTIVITY
870,GO_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION,GO_DEMETHYLATION
871,GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_1H_UP,GSE15750_WT_VS_TRAF6KO_DAY10_EFF_CD8_TCELL_UP
872,GSE26030_TH1_VS_TH17_DAY15_POST_POLARIZATION_UP,GO_REGULATION_OF_GLUCOSE_IMPORT
873,GSE27092_WT_VS_HDAC7_PHOSPHO_DEFICIENT_CD8_TCELL_UP,GSE46606_IRF4_KO_VS_WT_UNSTIM_BCELL_UP
874,GSE43957_UNTREATED_VS_NACL_TREATED_ANTI_CD3_CD28_STIM_CD4_TCELL_UP,GSE34515_CD16_POS_MONOCYTE_VS_DC_UP
875,GO_FATTY_ACID_TRANSPORT,GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT
876,GO_ARACHIDONIC_ACID_METABOLIC_PROCESS,GSE17721_0.5H_VS_24H_LPS_BMDC_UP
877,GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP,GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP
878,GO_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,GSE5463_CTRL_VS_DEXAMETHASONE_TREATED_THYMOCYTE_UP
879,GO_ENSHEATHMENT_OF_NEURONS,GSE32423_CTRL_VS_IL4_MEMORY_CD8_TCELL_UP
880,GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_UP,GSE4748_CTRL_VS_LPS_STIM_DC_3H_UP
881,GO_OOGENESIS,GSE3982_CTRL_VS_LPS_48H_DC_UP
882,GO_NEURON_PROJECTION_EXTENSION,GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_UP
883,GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_UP,GO_NEGATIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION
884,GO_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,GO_RHO_PROTEIN_SIGNAL_TRANSDUCTION
885,GO_RECEPTOR_METABOLIC_PROCESS,GO_NEURAL_CREST_CELL_MIGRATION
886,GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_UP,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_UP
887,GO_FEMALE_GAMETE_GENERATION,GO_GOLGI_ORGANIZATION
888,GO_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4_KO_BCELL_UP
889,GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10POS_BONE_MARROW_UP,GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_UP
890,GSE17721_4_VS_24H_GARDIQUIMOD_BMDC_UP,GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP
891,GO_DORSAL_VENTRAL_PATTERN_FORMATION,GO_REGULATION_OF_CARDIAC_CONDUCTION
892,GSE2585_AIRE_KO_VS_WT_CD80_LOW_MTEC_UP,GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP
893,GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP,GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MACROPHAGE_UP
894,GSE42021_TCONV_PLN_VS_CD24LO_TCONV_THYMUS_UP,GSE17721_PAM3CSK4_VS_GADIQUIMOD_16H_BMDC_UP
895,GO_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,GSE23984_CTRL_VS_HYPOCALEMIC_VITAMIND_ANALOG_TCELL_UP
896,GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_UP,GSE22611_UNSTIM_VS_2H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_UP
897,GO_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY,GSE360_DC_VS_MAC_L_MAJOR_UP
898,GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP,GSE33425_CD161_INT_VS_NEG_CD8_TCELL_UP
899,GSE17721_LPS_VS_CPG_2H_BMDC_UP,GO_PROTEIN_POLYMERIZATION
900,GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP,GO_REGULATION_OF_GENE_SILENCING
901,GSE19941_IL10_KO_VS_IL10_KO_AND_NFKBP50_KO_LPS_AND_IL10_STIM_MACROPHAGE_UP,GO_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS
902,GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_16H_UP,GO_VISUAL_BEHAVIOR
903,GSE3691_CONVENTIONAL_VS_PLASMACYTOID_DC_SPLEEN_UP,GO_INTEGRIN_MEDIATED_SIGNALING_PATHWAY
904,GO_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS,GSE8515_CTRL_VS_IL6_4H_STIM_MAC_UP
905,GSE20152_SPHK1_KO_VS_WT_HTNFA_OVERXPRESS_ANKLE_UP,GSE30971_WBP7_HET_VS_KO_MACROPHAGE_4H_LPS_STIM_UP
906,GO_POSITIVE_REGULATION_OF_TRANSPORTER_ACTIVITY,GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP
907,GO_MECHANORECEPTOR_DIFFERENTIATION,GO_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT3_PROTEIN
908,GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP,GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_WT_CD4_TCELL_UP
909,GSE24574_BCL6_LOW_TFH_VS_TCONV_CD4_TCELL_UP,GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_UP
910,GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_UP,GO_MEMBRANE_INVAGINATION
911,GO_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_UP
912,GO_VESICLE_TARGETING,GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_UP
913,GO_EPITHELIAL_CELL_PROLIFERATION,GSE27786_NKCELL_VS_NEUTROPHIL_UP
914,GSE21546_WT_VS_ELK1_KO_DP_THYMOCYTES_UP,GSE8515_CTRL_VS_IL1_4H_STIM_MAC_UP
915,GSE26030_UNSTIM_VS_RESTIM_TH1_DAY5_POST_POLARIZATION_UP,GSE27786_ERYTHROBLAST_VS_NEUTROPHIL_UP
916,GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP,GO_NEGATIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING
917,GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP,GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_UP
918,GSE32423_IL7_VS_IL7_IL4_NAIVE_CD8_TCELL_UP,GO_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
919,GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP,GO_REGULATION_OF_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY
920,GSE22501_PERIPHERAL_BLOOD_VS_CORD_BLOOD_TREG_UP,GO_FATTY_ACYL_COA_METABOLIC_PROCESS
921,GSE17721_CTRL_VS_CPG_8H_BMDC_UP,GSE15930_STIM_VS_STIM_AND_IL12_72H_CD8_T_CELL_UP
922,GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_UP,GO_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY
923,GO_NON_RECOMBINATIONAL_REPAIR,GSE2585_CTEC_VS_MTEC_THYMUS_UP
924,GSE2585_CD80_HIGH_VS_LOW_MTEC_UP,GO_GLUCAN_METABOLIC_PROCESS
925,GO_MONOSACCHARIDE_TRANSPORT,GSE17721_0.5H_VS_8H_POLYIC_BMDC_UP
926,GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_UP,GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP
927,GO_NEUROPEPTIDE_SIGNALING_PATHWAY,GO_POSITIVE_REGULATION_OF_DENDRITE_DEVELOPMENT
928,GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP,GSE11961_MEMORY_BCELL_DAY40_VS_GERMINAL_CENTER_BCELL_DAY40_UP
929,GSE20366_CD103_POS_VS_NEG_TREG_KLRG1NEG_UP,GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORT
930,GO_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,GSE3920_UNTREATED_VS_IFNB_TREATED_ENDOTHELIAL_CELL_UP
931,GSE28783_ANTI_MIR33_VS_CTRL_ATHEROSCLEROSIS_MACROPHAGE_UP,GSE28737_BCL6_HET_VS_BCL6_KO_FOLLICULAR_BCELL_UP
932,GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP,GSE22601_DOUBLE_NEGATIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP
933,GSE17721_12H_VS_24H_POLYIC_BMDC_UP,GO_NEGATIVE_REGULATION_OF_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY
934,GO_L_AMINO_ACID_TRANSPORT,GSE31622_WT_VS_KLF3_KO_BCELL_UP
935,GSE17721_POLYIC_VS_CPG_24H_BMDC_UP,GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_UP
936,GSE20151_CTRL_VS_FUSOBACT_NUCLEATUM_NEUTROPHIL_UP,GSE30153_LUPUS_VS_HEALTHY_DONOR_BCELL_UP
937,GO_NEGATIVE_REGULATION_OF_CHEMOTAXIS,GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_UP
938,GSE17721_LPS_VS_PAM3CSK4_2H_BMDC_UP,GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP
939,GO_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION,GSE5142_CTRL_VS_HTERT_TRANSDUCED_CD8_TCELL_EARLY_PASSAGE_CLONE_UP
940,GSE34179_THPOK_KO_VS_WT_VA14I_NKTCELL_UP,GO_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE
941,GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP,GSE18281_SUBCAPSULAR_VS_PERIMEDULLARY_CORTICAL_REGION_OF_THYMUS_UP
942,GO_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN,GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_MAC_UP
943,GO_FEEDING_BEHAVIOR,GSE15330_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_VS_PRO_BCELL_UP
944,GO_MULTICELLULAR_ORGANISM_METABOLIC_PROCESS,GO_AXIS_SPECIFICATION
945,GSE40273_XBP1_KO_VS_WT_TREG_UP,GO_ENDODERM_FORMATION
946,GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_12H_UP,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4HIGH_SORTED_BCELL_UP
947,GO_PEPTIDE_TRANSPORT,GO_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS
948,GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_UP,GSE13522_CTRL_VS_T_CRUZI_G_STRAIN_INF_SKIN_UP
949,GSE14308_TH1_VS_NAIVE_CD4_TCELL_UP,GSE19198_1H_VS_24H_IL21_TREATED_TCELL_UP
950,GSE11924_TH2_VS_TH17_CD4_TCELL_UP,GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_IN_SLE2C1_MOUSE_UP
951,GO_CELLULAR_RESPONSE_TO_FATTY_ACID,GSE19401_PLN_VS_PEYERS_PATCH_FOLLICULAR_DC_UP
952,GO_LIPOPROTEIN_BIOSYNTHETIC_PROCESS,GSE27786_BCELL_VS_NEUTROPHIL_UP
953,GO_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS,GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP
954,GSE11961_UNSTIM_VS_ANTI_IGM_AND_CD40_STIM_6H_FOLLICULAR_BCELL_UP,GO_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION
955,GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP,GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS
956,GO_REGULATION_OF_STEM_CELL_PROLIFERATION,GO_NEGATIVE_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT
957,GO_REGULATION_OF_KIDNEY_DEVELOPMENT,GO_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS
958,GSE19512_NAUTRAL_VS_INDUCED_TREG_UP,GSE40068_CXCR5POS_BCL6POS_TFH_VS_CXCR5NEG_BCL6NEG_CD4_TCELL_UP
959,GO_POST_EMBRYONIC_DEVELOPMENT,GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION
960,GSE3691_IFN_PRODUCING_KILLER_DC_VS_PLASMACYTOID_DC_SPLEEN_UP,GO_CELL_DIFFERENTIATION_IN_SPINAL_CORD
961,GSE3982_MAC_VS_EFF_MEMORY_CD4_TCELL_UP,GO_CELLULAR_RESPONSE_TO_MECHANICAL_STIMULUS
962,GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY8_EFFECTOR_CD8_TCELL_UP
963,GO_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS,GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION
964,GO_TRNA_MODIFICATION,GSE23925_LIGHT_ZONE_VS_NAIVE_BCELL_UP
965,GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_UP,GSE32423_IL7_VS_IL4_MEMORY_CD8_TCELL_UP
966,GO_ETHANOLAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,GSE20366_TREG_VS_TCONV_UP
967,GO_HORMONE_BIOSYNTHETIC_PROCESS,GSE18148_CBFB_KO_VS_WT_TREG_UP
968,GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP,GSE10273_HIGH_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP
969,GSE17721_LPS_VS_CPG_6H_BMDC_UP,GSE339_CD8POS_VS_CD4CD8DN_DC_IN_CULTURE_UP
970,GO_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY,GO_REGULATION_OF_AMINE_TRANSPORT
971,GO_NEGATIVE_REGULATION_OF_AXONOGENESIS,GO_RECOMBINATIONAL_REPAIR
972,GSE2197_CPG_DNA_VS_UNTREATED_IN_DC_UP,GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP
973,GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_UP,GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP
974,GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP,GO_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS
975,GSE28237_EARLY_VS_LATE_GC_BCELL_UP,GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_UP
976,GO_CELLULAR_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_UP
977,GSE22282_HYPOXIA_VS_NORMOXIA_MYELOID_DC_UP,GO_PROTEIN_COMPLEX_LOCALIZATION
978,GO_IRON_ION_TRANSPORT,GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP
979,GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP
980,GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP,GSE43955_1H_VS_20H_ACT_CD4_TCELL_UP
981,GSE20198_UNTREATED_VS_IFNA_TREATED_ACT_CD4_TCELL_UP,GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP
982,GO_REGULATION_OF_CELLULAR_PH,GO_CELLULAR_RESPONSE_TO_UV
983,GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP,GSE22103_UNSTIM_VS_LPS_STIM_NEUTROPHIL_UP
984,GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_UP,GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION
985,GO_DRUG_METABOLIC_PROCESS,GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_UP
986,GO_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP
987,GO_FATTY_ACID_CATABOLIC_PROCESS,GSE19772_HCMV_INFL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_UP
988,GO_SENSORY_PERCEPTION_OF_PAIN,GO_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION
989,GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_DP_THYMOCYTES_UP,GO_FATTY_ACID_BETA_OXIDATION
